id,name,north,south,east,west,Location Lat,Location Long
308,"World Forestry Center, Washington Park, Portland, Multnomah Co., Oregon, Usa",45.5116,45.5094,-122.718,-122.72,45.5105,-122.719
309,"Carnifex Ferry Battlefield State Park, Nicholas Co., West Virginia, Usa",38.2143,38.1974,-80.9286,-80.9455,38.20585,-80.93705
310,"Keene, New York, Usa",44.2671,44.2462,-73.779,-73.802,44.25665,-73.7905
313,"East Baton Rouge Parish, Baton Rouge, Louisiana, Usa",30.5457,30.3504,-91.0094,-91.2181,30.44805,-91.11375
315,"Tillamook Co., Oregon, Usa",45.7793,45.0468,-123.298,-124.025,45.41305,-123.6615
316,"Muddlety Creek Trail, Summersville, West Virginia, Usa",38.3058,38.2754,-80.8223,-80.8285,38.2906,-80.8254
318,"Pink Beds Trail, Pisgah Forest, North Carolina, Usa",35.3641,35.3387,-82.7525,-82.7827,35.3514,-82.7676
319,"Whipple, West Virginia, Usa",37.9631,37.9557,-81.1591,-81.1723,37.9594,-81.1657
320,"Jonesville, New York, Usa",42.9157,42.8958,-73.8068,-73.834,42.90575,-73.8204
323,"Larch Mountain, Multnomah Co., Oregon, Usa",45.5823,45.5189,-122.064,-122.122,45.5506,-122.093
